"table_catalog","table_schema","table_name","column_name","ordinal_position","column_default","is_nullable","data_type","character_maximum_length","character_octet_length","numeric_precision","numeric_precision_radix","numeric_scale","datetime_precision","interval_type","interval_precision","character_set_catalog","character_set_schema","character_set_name","collation_catalog","collation_schema","collation_name","domain_catalog","domain_schema","domain_name","udt_catalog","udt_schema","udt_name","scope_catalog","scope_schema","scope_name","maximum_cardinality","dtd_identifier","is_self_referencing","is_identity","identity_generation","identity_start","identity_increment","identity_maximum","identity_minimum","identity_cycle","is_generated","generation_expression","is_updatable"
"postgres","public","dim_stores","address",1,"","YES","text","",1073741824,"","","","","","","","","","","","","","","","postgres","pg_catalog","text","","","","","1","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","dim_stores","town",2,"","YES","text","",1073741824,"","","","","","","","","","","","","","","","postgres","pg_catalog","text","","","","","2","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","dim_stores","store code",3,"","YES","text","",1073741824,"","","","","","","","","","","","","","","","postgres","pg_catalog","text","","","","","3","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","dim_stores","staff numbers",4,"","YES","bigint","","",64,2,0,"","","","","","","","","","","","","postgres","pg_catalog","int8","","","","","4","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","dim_stores","date_opened",5,"","YES","text","",1073741824,"","","","","","","","","","","","","","","","postgres","pg_catalog","text","","","","","5","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","dim_stores","store_type",6,"","YES","text","",1073741824,"","","","","","","","","","","","","","","","postgres","pg_catalog","text","","","","","6","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","dim_stores","country_code",7,"","YES","text","",1073741824,"","","","","","","","","","","","","","","","postgres","pg_catalog","text","","","","","7","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","dim_stores","region",8,"","YES","text","",1073741824,"","","","","","","","","","","","","","","","postgres","pg_catalog","text","","","","","8","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","dim_stores","country_region",9,"","YES","text","",1073741824,"","","","","","","","","","","","","","","","postgres","pg_catalog","text","","","","","9","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","dim_stores","lat",10,"","YES","double precision","","",53,2,"","","","","","","","","","","","","","postgres","pg_catalog","float8","","","","","10","NO","NO","","","","","","NO","NEVER","","YES"
"postgres","public","dim_stores","long",11,"","YES","double precision","","",53,2,"","","","","","","","","","","","","","postgres","pg_catalog","float8","","","","","11","NO","NO","","","","","","NO","NEVER","","YES"
